"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Cameroon","CMR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.76735861979995","8.90515524474841","9.75370088625251","8.35787310172074","7.27976097890193","8.60128772024035","","","11.1450230864873","11.1980871276368","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6960333353941","11.7352981218261","8.27598809723523","11.2431360727135","11.1310301688082","7.61820469307369","10.9025298697505","7.77133771945077","","9.2156412525509","8.36144896498646","8.70277390136824","7.84924762733122","6.24311230522939","5.79082765349033","6.60259748724482","5.94611181662863","8.40495209177168","7.59597698705338","","","","","",
"Colombia","COL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7437326447278","13.4769210950668","11.2197546517304","","","11.2588266938714","","","","","12.9356108850604","12.5980428348846","12.1229135599386","14.5554015018671","13.2721331875226","13.3548701029808","","",
"Comoros","COM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0769713606117","22.7444438575378","20.9067631506814","21.2837976760053","18.4206417086846","","","","","","",
"Costa Rica","CRI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0735931228229","10.6362039204453","11.9631837643395","11.9660606018147","11.5031842022534","12.0948653174","12.4668847710753","12.4023970618426","12.4442010028592","11.8519402765042","12.0886332483629","13.012885502235","13.1573557748089","13.3942390001671","13.3697341442278","13.6897803938236","13.9564297420194","15.1740096252185","15.724565970985","13.7946150744424","13.4379488453409","13.6975721276959","13.6639221909343","13.8835997166125","","",
"Caribbean small states","CSS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5171153144718","20.7569188135986","22.3918167370811","22.9731692926679","25.0438164547686","26.572289865249","25.3756681295402","27.0682931843805","25.0927774872572","25.3096445534225","","","","","",
"Cuba","CUB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.8059018144395","29.0124318913224","30.8681494810841","33.244344574994","35.544730716357","31.558406046981","30.5556170652508","29.381744247711","31.8942620878875","32.8777439368386","36.2192349212286","37.1543183543959","37.4051915648166","38.5438905311425","38.5252494114962","40.9796002807932","42.7325679529369","49.9678139666018","47.3495330146203","23.9134059449149","24.0335436191899","24.0502002900434","23.5705222421593","23.529522146439","","",
