,CountryCode,CountryName,education,cashSD,health,taxRevenue
215,SYR,Syrian Arab Republic,,,3.27644738,
216,TCA,Turks and Caicos Islands,,,,
217,TCD,Chad,1.98194,,2.94877337,
218,TGO,Togo,4.4232,0.578613852485,5.36773553,15.7032123221
219,THA,Thailand,3.75264,-1.91392888359,5.4092974,14.9405863622
220,TJK,Tajikistan,4.00675,,6.04279741,
221,TKM,Turkmenistan,,,1.98723852,
222,TLS,Timor-Leste,10.48715,,0.92235429,
223,TON,Tonga,,,4.59400374,
224,TTO,Trinidad and Tobago,,-1.5592917055,5.19620681,27.6416775396
225,TUN,Tunisia,6.202,-1.37380500771,6.54360565,20.1389902117
226,TUR,Turkey,,-2.96256599355,5.61321761,20.4864519011
227,TUV,Tuvalu,,,16.75279266,
228,TZA,Tanzania,4.62239,-1.85165256474,5.29671631,12.0595305759
229,UGA,Uganda,2.25446,-3.35229968912,11.02478546,10.271184352
230,UKR,Ukraine,,-6.52241104262,7.80753352,15.5241652033
231,UMC,Upper middle income,,,5.93699980264,13.3096226847
232,URY,Uruguay,,-0.897817249848,8.62826624,18.8863887407
233,USA,United States,5.42001,-6.82863938427,17.0167582,8.61080571908
234,UZB,Uzbekistan,,,5.34396144,
235,VCT,St. Vincent and the Grenadines,5.08415,,4.70791229,
236,VEN,"Venezuela, RB",,,5.03666547,
237,VIR,Virgin Islands (U.S.),,,,
238,VNM,Vietnam,6.28535,,6.36084929,
239,VUT,Vanuatu,,-2.50412298268,4.71116665,15.4991754035
240,PSE,West Bank and Gaza,,0.529535196695,,5.46315145638
241,WLD,World,,-5.25342320156,10.0362047034,13.2338289274
242,WSM,Samoa,,-0.00580380916273,5.70478027,0.0216945339489
243,YEM,"Yemen, Rep.",,,5.17144739,
244,ZAF,South Africa,5.72174,-4.38927307638,8.5041601,24.5147904435
245,COD,"Congo, Dem. Rep.",1.60244,2.44081766442,4.06119758,8.77457287386
246,ZMB,Zambia,,-1.19470461502,4.40728156,13.2476266501
247,ZWE,Zimbabwe,1.9661,,5.37316536,
