"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Cote d'Ivoire","CIV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","5.86539","","7.53186","7.04561","5.69039","6.78574","6.46212","","6.75367","8.23139","6.85976","","","","","","","","","","","","6.78114","6.50305","4.78869","4.30145","4.05623","4.03089","3.78794","4.09433","3.70367","3.66868","4.09033","3.96799","4.12786","4.10575","4.11478","4.29742","4.44896","","","","","","4.71947","",
"Cameroon","CMR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","3.07987","3.36389","","","","","","","","","","2.98497","3.49689","3.24637","","2.84834","2.93091","2.71473","2.64896","3.2871","3.22023","2.751","","","","","","","","1.93258","2.60995","","3.30182","3.32991","3.12323","2.95568","3.36625","2.95686","3.46009","3.31319","3.05291","2.96539","3.02834","","",
"Congo, Rep.","COG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","5.7323","5.55095","","5.23845","","7.74302","","","8.41331","7.03814","6.35924","","","","","","","","","","","","","","6.37312","4.91034","","","4.06827","","","","3.20832","2.83616","2.28813","1.83577","","","","","6.22079","","","","","",
"Colombia","COL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.75434","1.72912","2.59724","","","3.00429","2.71527","","","","2.70525","","","","","","","","","3.92644","4.4408","3.51121","3.70868","4.26813","4.32514","4.07935","3.99501","3.89332","4.0587","3.9098","4.74743","4.82616","4.45981","4.38531","4.9049","4.6708","",
"Comoros","COM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.78254","","","","3.88059","","","","","","7.70989","","","4.93279","4.88999","","","",
"Cabo Verde","CPV","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.39177","6.80168","","","7.87682","","7.47664","","6.5296","5.40755","5.518","5.30896","5.56729","5.04361","","5.03693","","",
"Costa Rica","CRI","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","7.34717","","4.88507","3.92334","","","3.5658","","3.05414","3.1185","","","","","","3.3116","3.83658","","","4.86788","4.39395","4.70612","5.06924","5.06167","4.89459","","","","","","","","","","","",
"Caribbean small states","CSS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","8.36909","","","","","","","","","","","7.14497","","7.07477","5.61948","","","","6.20866","6.75508","7.70486","8.35785","9.5712","9.94078","10.26828","10.55769","9.05729","11.86829","14.05908","13.12516","12.83727","","","","","",
"Curacao","CUW","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
